InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV0001,P036,CHILDRENS CUTLERY DOLLY GIRL,1,2023-06-16 00:00:00,3.99,C1029,United Kingdom
INV0001,P064,FOLK ART CAT WALL PLAQUE,2,2023-06-16 00:00:00,5.24,C1029,United Kingdom
INV0001,P062,FOLK ART STAR HANGING DECORATION,4,2023-06-16 00:00:00,1.82,C1029,United Kingdom
INV0002,P048,WOODLAND CHARLOTTE BAG,1,2023-11-02 00:00:00,10.23,C1005,United Kingdom
INV0002,P049,RED RETROSPOT CHARLOTTE BAG,1,2023-11-02 00:00:00,9.88,C1005,United Kingdom
INV0002,P021,STRAWBERRY CERAMIC TRINKET BOX,1,2023-11-02 00:00:00,1.34,C1005,United Kingdom
INV0002,P055,GINGERBREAD MAN COOKIE CUTTER,1,2023-11-02 00:00:00,1.37,C1005,United Kingdom
INV0002,P041,EDWARDIAN PARASOL RED,6,2023-11-02 00:00:00,5.72,C1005,United Kingdom
INV0002,P033,PINK FELT CRAFT TRINKET BOX,1,2023-11-02 00:00:00,2.01,C1005,United Kingdom
INV0002,P047,ROUND SNACK BOXES SET OF 4 FRUITS,1,2023-11-02 00:00:00,9.55,C1005,United Kingdom
INV0003,P063,FOLK ART OWL HANGING DECORATION,3,2023-06-14 00:00:00,1.92,C1050,United Kingdom
INV0003,P019,AIRLINE BAG VINTAGE JET SET WHITE,1,2023-06-14 00:00:00,4.12,C1050,United Kingdom
INV0003,P052,FUNNY ANIMAL MAGNETS PACK OF 6,2,2023-06-14 00:00:00,0.72,C1050,United Kingdom
INV0003,P014,BOX OF VINTAGE ALPHABET BLOCKS,1,2023-06-14 00:00:00,7.71,C1050,United Kingdom
INV0003,P056,CHRISTMAS HANGING HEART GLASS,1,2023-06-14 00:00:00,3.26,C1050,United Kingdom
INV0003,P078,BATHROOM METAL SIGN,2,2023-06-14 00:00:00,3.56,C1050,United Kingdom
INV0003,P048,WOODLAND CHARLOTTE BAG,2,2023-06-14 00:00:00,11.87,C1050,United Kingdom
INV0004,P061,SET OF 3 FOLK ART BIRD ORNAMENTS,1,2023-03-25 00:00:00,7.39,C1014,Germany
INV0004,P066,KNITTED UNION FLAG TEA COSY,6,2023-03-25 00:00:00,4.39,C1014,Germany
INV0004,P023,RECYCLED GLASS CANDLEHOLDER BIRD,1,2023-03-25 00:00:00,2.98,C1014,Germany
INV0004,P078,BATHROOM METAL SIGN,1,2023-03-25 00:00:00,3.46,C1014,Germany
INV0005,P056,CHRISTMAS HANGING HEART GLASS,4,2023-01-28 00:00:00,3.29,C1047,United Kingdom
INV0005,P030,LUNCH BAG CARS BLUE,4,2023-01-28 00:00:00,1.84,C1047,United Kingdom
INV0005,P028,LUNCH BAG SUKI DESIGN,2,2023-01-28 00:00:00,2.25,C1047,United Kingdom
INV0005,P040,IVORY KITCHEN SCALES,1,2023-01-28 00:00:00,8.55,C1047,United Kingdom
INV0005,P063,FOLK ART OWL HANGING DECORATION,2,2023-01-28 00:00:00,2.26,C1047,United Kingdom
INV0005,P016,PARTY BUNTING,2,2023-01-28 00:00:00,4.75,C1047,United Kingdom
INV0005,P006,HAND WARMER RED POLKA DOT,1,2023-01-28 00:00:00,1.69,C1047,United Kingdom
INV0005,P043,VINTAGE SNAP CARDS,4,2023-01-28 00:00:00,1.73,C1047,United Kingdom
INV0006,P031,DOORMAT HEARTS OF GLASS,3,2023-03-01 00:00:00,9.74,C1011,United Kingdom
INV0006,P004,GLASS STAR FROSTED T-LIGHT HOLDER,2,2023-03-01 00:00:00,2.92,C1011,United Kingdom
INV0006,P069,PINK HANGING HEART T-LIGHT HOLDER,2,2023-03-01 00:00:00,3.39,C1011,United Kingdom
INV0007,P073,PLASTERS IN TIN SPACEBOY,1,2023-03-16 00:00:00,1.87,C1005,United Kingdom
INV0007,P007,ASSORTED COLOUR BIRD ORNAMENT,2,2023-03-16 00:00:00,1.86,C1005,United Kingdom
INV0007,P013,BOX OF VINTAGE JIGSAW BLOCKS,3,2023-03-16 00:00:00,6.31,C1005,United Kingdom
INV0007,P067,KNITTED UNION FLAG OVEN GLOVE,1,2023-03-16 00:00:00,4.32,C1005,United Kingdom
INV0007,P074,VICTORIAN SEWING BOX LARGE,1,2023-03-16 00:00:00,13.43,C1005,United Kingdom
